scrape_timestamp,source_url,cruise_id,cruise_name,nights,ship_name,ship_code,departure,destination_code,sailing_id,sailing_date,room_type,price
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Surfside Family Suite,3243
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Sunset Junior Suite,5887
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Sunset Suite,6500
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Grand Suite,6555
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Sunset Corner Suite,7237
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Owners Suite,8638
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-10-08,2026-10-08,Icon Loft Suite,14040
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Interior,2057
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Ocean View,2105
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Balcony,2269
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Suite Guarantee,3432
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,We Choose Your Suite,3065
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Surfside Family Suite,3243
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Sunset Junior Suite,5887
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Sunset Suite,6500
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Grand Suite,6555
2025-09-22T05:14:41.782260,"https://www.royalcaribbean.com/gbr/en/cruises?search=departurePort:BCN,BYE,FLL,LAX,MIA,ROM,SIN,YOK|nights:6~8,9~11,gte12|ship:AL,AN,HM,IC,LE,OA,OV,OY,QN,ST,SY,UT,WN&country=IRL&market=gbr&language=en",LE07ROM-237457943,Western Mediterranean Cruise,7,Legend of the Seas,LE,"Rome (Civitavecchia), Italy",ROM,LE07ROM-237457943-2026-08-27,2026-08-27,Sunset Corner Suite,7237
